username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
mart_norton,,South Australia,39,12,102,2019-03-15 01:00:13,2020-10-26 02:12:12,0,"#antitrump #dumptrump #fucktrump #notmypresident #trump #resist #trumpsucks #impeachtrump #trumpisajoke #lockhimup #maga #election  #democrats #democrat #vote #nevertrump #politi #bluewave #theresistance #covid #impeached #liberal #bhfyp 
WHY the hell is TRUMP still in power?","[{'text': 'antitrump', 'indices': [0, 10]}, {'text': 'dumptrump', 'indices': [11, 21]}, {'text': 'fucktrump', 'indices': [22, 32]}, {'text': 'notmypresident', 'indices': [33, 48]}, {'text': 'trump', 'indices': [49, 55]}, {'text': 'resist', 'indices': [56, 63]}, {'text': 'trumpsucks', 'indices': [64, 75]}, {'text': 'impeachtrump', 'indices': [76, 89]}, {'text': 'trumpisajoke', 'indices': [90, 103]}, {'text': 'lockhimup', 'indices': [104, 114]}, {'text': 'maga', 'indices': [115, 120]}, {'text': 'election', 'indices': [121, 130]}, {'text': 'democrats', 'indices': [132, 142]}, {'text': 'democrat', 'indices': [143, 152]}, {'text': 'vote', 'indices': [153, 158]}, {'text': 'nevertrump', 'indices': [159, 170]}, {'text': 'politi', 'indices': [171, 178]}, {'text': 'bluewave', 'indices': [179, 188]}, {'text': 'theresistance', 'indices': [189, 203]}, {'text': 'covid', 'indices': [204, 210]}, {'text': 'impeached', 'indices': [211, 221]}, {'text': 'liberal', 'indices': [222, 230]}, {'text': 'bhfyp', 'indices': [231, 237]}]"
researchdafacts,We need to rid our country of corruption in the media and in our government!,Ny,360,101,18504,2016-07-19 16:09:05,2020-10-26 02:09:49,0,Here’s what is going on w this #election here in the #unitedstates either u “hate” #joebiden or #trump or u r smart enough to read between the lines. Let go of the hate? Idk.  Get it together,"[{'text': 'election', 'indices': [31, 40]}, {'text': 'unitedstates', 'indices': [53, 66]}, {'text': 'joebiden', 'indices': [83, 92]}, {'text': 'trump', 'indices': [96, 102]}]"
GingeSakai,Formerly The Coziest Man in the World,,275,211,9783,2020-08-15 03:04:18,2020-10-26 02:00:58,2,"Rt - If the 2020 Presidential Election was held today, who would you vote for? 

#Vote #Trump #Biden #Poll #Election2020 #Trump2020 #Biden2020 #Election #ElectionTwitter #Kamala #Pence #BreakingNews #America #VoteEarly #FoxNews #CNN #VoteEarlyDay  #USA #IChooseAmerica #MAGA #God","[{'text': 'Vote', 'indices': [95, 100]}, {'text': 'Trump', 'indices': [101, 107]}, {'text': 'Biden', 'indices': [108, 114]}, {'text': 'Poll', 'indices': [115, 120]}, {'text': 'Election2020', 'indices': [121, 134]}]"
bcgenstrike,,,209,158,10095,2014-09-07 04:54:38,2020-10-26 01:31:09,0,"#VoteEarly #Vote #Hunterbidenlaptop #USA #america #NYC #news #Americans #American #HunterBidenEmails #FoxNews #CNN #ABC #TEXAS #FLORIDA #Pennsylvania #OHIO #Trump #Elections2020 #election  Of course not , that would be too risky for the #leftest #media . Voters being duped . https://t.co/7FbuvvR6Tt","[{'text': 'VoteEarly', 'indices': [0, 10]}, {'text': 'Vote', 'indices': [11, 16]}, {'text': 'Hunterbidenlaptop', 'indices': [17, 35]}, {'text': 'USA', 'indices': [36, 40]}, {'text': 'america', 'indices': [41, 49]}, {'text': 'NYC', 'indices': [50, 54]}, {'text': 'news', 'indices': [55, 60]}, {'text': 'Americans', 'indices': [61, 71]}, {'text': 'American', 'indices': [72, 81]}, {'text': 'HunterBidenEmails', 'indices': [82, 100]}, {'text': 'FoxNews', 'indices': [101, 109]}, {'text': 'CNN', 'indices': [110, 114]}, {'text': 'ABC', 'indices': [115, 119]}, {'text': 'TEXAS', 'indices': [120, 126]}, {'text': 'FLORIDA', 'indices': [127, 135]}, {'text': 'Pennsylvania', 'indices': [136, 149]}, {'text': 'OHIO', 'indices': [150, 155]}, {'text': 'Trump', 'indices': [156, 162]}, {'text': 'Elections2020', 'indices': [163, 177]}, {'text': 'election', 'indices': [178, 187]}, {'text': 'leftest', 'indices': [237, 245]}, {'text': 'media', 'indices': [246, 252]}]"
savvybizconsult,"Joined Twitter to express my political voice. I'm a moderate Repub/Independent, freelance writer, business owner, consultant & NEVER Trumper! #BidenHarris🇺🇸","Gladwyne, PA",1470,549,8179,2017-01-31 04:16:10,2020-10-26 01:28:19,0,We all have that head scratching question dear 🤔😏 #video #funny #girl #voter #trumpers #maga #kag #crazy #trump #votehimout #bidenharris2020 #Election #blue #biden #Pennsylvania #wisconsin #michiga#ohio #Republicans #dems #progressives #conservatives #millenials #vote https://t.co/4lcOweNgjy,"[{'text': 'video', 'indices': [50, 56]}, {'text': 'funny', 'indices': [57, 63]}, {'text': 'girl', 'indices': [64, 69]}, {'text': 'voter', 'indices': [70, 76]}, {'text': 'trumpers', 'indices': [77, 86]}, {'text': 'maga', 'indices': [87, 92]}, {'text': 'kag', 'indices': [93, 97]}, {'text': 'crazy', 'indices': [98, 104]}, {'text': 'trump', 'indices': [105, 111]}, {'text': 'votehimout', 'indices': [112, 123]}, {'text': 'bidenharris2020', 'indices': [124, 140]}, {'text': 'Election', 'indices': [141, 150]}, {'text': 'blue', 'indices': [151, 156]}, {'text': 'biden', 'indices': [157, 163]}, {'text': 'Pennsylvania', 'indices': [164, 177]}, {'text': 'wisconsin', 'indices': [178, 188]}, {'text': 'Republicans', 'indices': [203, 215]}, {'text': 'dems', 'indices': [216, 221]}, {'text': 'progressives', 'indices': [222, 235]}, {'text': 'conservatives', 'indices': [236, 250]}, {'text': 'millenials', 'indices': [251, 262]}, {'text': 'vote', 'indices': [263, 268]}]"
bcgenstrike,,,209,158,10095,2014-09-07 04:54:38,2020-10-26 01:26:42,0,#VoteEarly #Vote #Hunterbidenlaptop #USA #america #NYC More #news #Americans #American #HunterBidenEmails #FoxNews #CNN #ABC #TEXAS #FLORIDA #Pennsylvania #OHIO #Trump #Elections2020 #election https://t.co/51psqMd9Jz,"[{'text': 'VoteEarly', 'indices': [0, 10]}, {'text': 'Vote', 'indices': [11, 16]}, {'text': 'Hunterbidenlaptop', 'indices': [17, 35]}, {'text': 'USA', 'indices': [36, 40]}, {'text': 'america', 'indices': [41, 49]}, {'text': 'NYC', 'indices': [50, 54]}, {'text': 'news', 'indices': [60, 65]}, {'text': 'Americans', 'indices': [66, 76]}, {'text': 'American', 'indices': [77, 86]}, {'text': 'HunterBidenEmails', 'indices': [87, 105]}, {'text': 'FoxNews', 'indices': [106, 114]}, {'text': 'CNN', 'indices': [115, 119]}, {'text': 'ABC', 'indices': [120, 124]}, {'text': 'TEXAS', 'indices': [125, 131]}, {'text': 'FLORIDA', 'indices': [132, 140]}, {'text': 'Pennsylvania', 'indices': [141, 154]}, {'text': 'OHIO', 'indices': [155, 160]}, {'text': 'Trump', 'indices': [161, 167]}, {'text': 'Elections2020', 'indices': [168, 182]}, {'text': 'election', 'indices': [183, 192]}]"
bcgenstrike,,,209,158,10095,2014-09-07 04:54:38,2020-10-26 01:21:17,0,NEWS RELEASE : EVERY AMERICAN NEEDS TO WATCH THIS NOW and RETWEET ! #VoteEarly #Vote #Hunterbidenlaptop #USA #america #NYC More #news #Americans #American #HunterBidenEmails #FoxNews #CNN #ABC #TEXAS #FLORIDA #Pennsylvania #OHIO #Trump #Elections2020 #election https://t.co/LBnAmGRfzy,"[{'text': 'VoteEarly', 'indices': [68, 78]}, {'text': 'Vote', 'indices': [79, 84]}, {'text': 'Hunterbidenlaptop', 'indices': [85, 103]}, {'text': 'USA', 'indices': [104, 108]}, {'text': 'america', 'indices': [109, 117]}, {'text': 'NYC', 'indices': [118, 122]}, {'text': 'news', 'indices': [128, 133]}, {'text': 'Americans', 'indices': [134, 144]}, {'text': 'American', 'indices': [145, 154]}, {'text': 'HunterBidenEmails', 'indices': [155, 173]}, {'text': 'FoxNews', 'indices': [174, 182]}, {'text': 'CNN', 'indices': [183, 187]}, {'text': 'ABC', 'indices': [188, 192]}, {'text': 'TEXAS', 'indices': [193, 199]}, {'text': 'FLORIDA', 'indices': [200, 208]}, {'text': 'Pennsylvania', 'indices': [209, 222]}, {'text': 'OHIO', 'indices': [223, 228]}, {'text': 'Trump', 'indices': [229, 235]}, {'text': 'Elections2020', 'indices': [236, 250]}, {'text': 'election', 'indices': [251, 260]}]"
thebipress,"We use Artificial Intelligence to discern political bias and provide you with both sides of a story.

https://t.co/ttMz9lzPcV",San Jose,1725,1295,1687,2018-06-25 03:26:59,2020-10-26 01:19:15,0,"Biden Supporters in Trump 2016 Stronghold of Gettysburg, Pa. Explain Their Vote  #Election #Left #News #Politics #Presidency #Trump #2020 #Election #Donald #Trump #Gettysburg #PA #Joe #Biden #Pennsylvania https://t.co/8l283ZKCs8","[{'text': 'Election', 'indices': [81, 90]}, {'text': 'Left', 'indices': [91, 96]}, {'text': 'News', 'indices': [97, 102]}, {'text': 'Politics', 'indices': [103, 112]}, {'text': 'Presidency', 'indices': [113, 124]}, {'text': 'Trump', 'indices': [125, 131]}, {'text': 'Election', 'indices': [138, 147]}, {'text': 'Donald', 'indices': [148, 155]}, {'text': 'Trump', 'indices': [156, 162]}, {'text': 'Gettysburg', 'indices': [163, 174]}, {'text': 'PA', 'indices': [175, 178]}, {'text': 'Joe', 'indices': [179, 183]}, {'text': 'Biden', 'indices': [184, 190]}, {'text': 'Pennsylvania', 'indices': [191, 204]}]"
bcgenstrike,,,209,158,10095,2014-09-07 04:54:38,2020-10-26 01:19:04,0,#VoteEarly #Vote #Hunterbidenlaptop #USA #america #NYC More #news #Americans #American #HunterBidenEmails #FoxNews #CNN #ABC #TEXAS #FLORIDA #Pennsylvania #OHIO #Trump #Elections2020 #election #Montana #Nevada #Arizona https://t.co/J9WZJ06Pfk,"[{'text': 'VoteEarly', 'indices': [0, 10]}, {'text': 'Vote', 'indices': [11, 16]}, {'text': 'Hunterbidenlaptop', 'indices': [17, 35]}, {'text': 'USA', 'indices': [36, 40]}, {'text': 'america', 'indices': [41, 49]}, {'text': 'NYC', 'indices': [50, 54]}, {'text': 'news', 'indices': [60, 65]}, {'text': 'Americans', 'indices': [66, 76]}, {'text': 'American', 'indices': [77, 86]}, {'text': 'HunterBidenEmails', 'indices': [87, 105]}, {'text': 'FoxNews', 'indices': [106, 114]}, {'text': 'CNN', 'indices': [115, 119]}, {'text': 'ABC', 'indices': [120, 124]}, {'text': 'TEXAS', 'indices': [125, 131]}, {'text': 'FLORIDA', 'indices': [132, 140]}, {'text': 'Pennsylvania', 'indices': [141, 154]}, {'text': 'OHIO', 'indices': [155, 160]}, {'text': 'Trump', 'indices': [161, 167]}, {'text': 'Elections2020', 'indices': [168, 182]}, {'text': 'election', 'indices': [183, 192]}, {'text': 'Montana', 'indices': [193, 201]}, {'text': 'Nevada', 'indices': [202, 209]}, {'text': 'Arizona', 'indices': [210, 218]}]"
therealgsnews,"REPUBLICAN, PUERTO RICAN, GOD LOVING✝️, PROUD AMERICAN HUSBAND🇺🇸, FATHER, JOURNALIST YT-GRANDSUPREMENEWS🎥#MAGA | RUN BY MANAGER WIFE. BRINGING BACK TRUE NEWS","Tampa, FL",220,2222,9364,2016-09-06 02:07:44,2020-10-26 01:14:15,0,45th Tower Struck By LIGHTNING | 9 Days LEFT https://t.co/i9wtYOedF8 via @YouTube #Trump #Debate #Election #November #Riots #Uprising,"[{'text': 'Trump', 'indices': [82, 88]}, {'text': 'Debate', 'indices': [89, 96]}, {'text': 'Election', 'indices': [97, 106]}, {'text': 'November', 'indices': [107, 116]}, {'text': 'Riots', 'indices': [117, 123]}, {'text': 'Uprising', 'indices': [124, 133]}]"
