State,County,Votes,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,POPESTIMATE2016,TotalTurnout,DidntVote,CountyState
Alabama,Autauga County,24661.0,0.3268009239208892,0.10661180886386605,0.0018947596362061468,0.009708387469322937,55416.0,0.4450158798902844,0.5549841201097157,"Autauga County, Alabama"
Alabama,Baldwin County,94090.0,0.34895930725967694,0.08826589567660609,0.0021720055810474535,0.011737460623408752,208563.0,0.45113466914073924,0.5488653308592608,"Baldwin County, Alabama"
Alabama,Barbour County,10390.0,0.20916618524937416,0.18671288272674752,0.0006932409012131689,0.0035817446562680516,25965.0,0.4001540535336029,0.5998459464663971,"Barbour County, Alabama"
Alabama,Bibb County,8748.0,0.2973545908227708,0.08276288477675219,0.0007507839067261385,0.005476306143178904,22643.0,0.38634456564942804,0.613655434350572,"Bibb County, Alabama"
Alabama,Blount County,25384.0,0.39525856093165124,0.03725911548592818,0.0015423540829058635,0.005840149729654789,57704.0,0.4399001802301401,0.5600998197698599,"Blount County, Alabama"
Alabama,Bullock County,4701.0,0.10992086469793476,0.3406678247442579,0.0009650646593321728,0.002123142250530782,10362.0,0.4536768963520556,0.5463231036479443,"Bullock County, Alabama"
Alabama,Butler County,8685.0,0.24457445744574463,0.18581858185818578,0.0006500650065006489,0.003250325032503248,19998.0,0.4342934293429343,0.5657065706570656,"Butler County, Alabama"
Alabama,Calhoun County,47376.0,0.28621162017607393,0.11514601565294778,0.0022859934910261647,0.009719834919859349,114611.0,0.4133634642399072,0.5866365357600928,"Calhoun County, Alabama"
Alabama,Chambers County,13778.0,0.2305646662529918,0.17028632213456255,0.0013001211476523923,0.004964098927400051,33843.0,0.4071152084626068,0.5928847915373932,"Chambers County, Alabama"
Alabama,Cherokee County,10503.0,0.34242954324586977,0.059241982507288626,0.0009718172983479105,0.005636540330417878,25725.0,0.40827988338192417,0.5917201166180759,"Cherokee County, Alabama"
Alabama,Chilton County,18255.0,0.3429143624405453,0.06620240777406067,0.0011834050203682201,0.005143260280831114,43941.0,0.4154434355158053,0.5845565644841947,"Chilton County, Alabama"
Alabama,Choctaw County,7268.0,0.31570845840067724,0.23928269067959673,0.00046178711613945793,0.003925190487185408,12993.0,0.5593781266835988,0.44062187331640124,"Choctaw County, Alabama"
Alabama,Clarke County,12936.0,0.29144801574286655,0.23417513938996393,0.0006969498196129864,0.00401771072482781,24392.0,0.5303378156772713,0.46966218432272866,"Clarke County, Alabama"
Alabama,Clay County,6572.0,0.3876371182923213,0.09146160687815001,0.0011858879335902746,0.006818855618144086,13492.0,0.48710346872220567,0.5128965312777943,"Clay County, Alabama"
Alabama,Cleburne County,6532.0,0.3844813722862503,0.04583221656392389,0.0013401232913428016,0.006030554811042612,14924.0,0.4376842669525596,0.5623157330474404,"Cleburne County, Alabama"
Alabama,Coffee County,20513.0,0.3089251551946277,0.08187248662788428,0.001991176355756841,0.0076523640338890375,51226.0,0.40044118221215785,0.5995588177878421,"Coffee County, Alabama"
Alabama,Colbert County,24626.0,0.3083591559687177,0.13457281983178399,0.0019551423933894052,0.009333038217500365,54216.0,0.45422015641139146,0.5457798435886085,"Colbert County, Alabama"
Alabama,Conecuh County,6543.0,0.2753529649052037,0.2475998386446148,0.000806776926179911,0.004114562323517546,12395.0,0.527874142799516,0.47212585720048394,"Conecuh County, Alabama"
Alabama,Coosa County,5223.0,0.31906247046592945,0.16822606558926378,0.00132312635856724,0.0050089783574331324,10581.0,0.4936206407711936,0.5063793592288064,"Coosa County, Alabama"
Alabama,Covington County,15818.0,0.35298200651396233,0.06351113246836457,0.0009610764055742394,0.0048320785946927205,37458.0,0.4222862939825938,0.5777137060174062,"Covington County, Alabama"
Alabama,Crenshaw County,6252.0,0.3242291382160569,0.1195284985265579,0.0010062531445410752,0.00460001437504492,13913.0,0.4493639042622008,0.5506360957377991,"Crenshaw County, Alabama"
Alabama,Cullman County,37278.0,0.39691527931030307,0.04522801954626475,0.001600562622012582,0.008269573547065028,82471.0,0.45201343502564545,0.5479865649743545,"Cullman County, Alabama"
Alabama,Dale County,18617.0,0.28029902896843134,0.08954617478568239,0.0012594970137732092,0.007089749319465324,49226.0,0.37819445008735225,0.6218055499126478,"Dale County, Alabama"
Alabama,Dallas County,18730.0,0.14457108578284344,0.3205858828234353,0.0005998800239951994,0.002399520095980802,40008.0,0.46815636872625477,0.5318436312737452,"Dallas County, Alabama"
Alabama,DeKalb County,26086.0,0.3071791255289139,0.051932299012693944,0.002200282087447109,0.006614950634696753,70900.0,0.3679266572637517,0.6320733427362484,"DeKalb County, Alabama"
Alabama,Elmore County,36905.0,0.3376447144830621,0.10313084512035599,0.0013692098925414736,0.00902211518478221,81799.0,0.45116688468074173,0.5488331153192583,"Elmore County, Alabama"
Alabama,Escambia County,15213.0,0.2725296861747243,0.12452290076335878,0.0010072094995759106,0.005168575063613228,37728.0,0.4032283715012722,0.5967716284987278,"Escambia County, Alabama"
Alabama,Etowah County,43474.0,0.31328731328731324,0.10091260091260093,0.001589251589251587,0.008082758082758082,102564.0,0.4238719238719239,0.576128076128076,"Etowah County, Alabama"
Alabama,Fayette County,8196.0,0.40523389338813004,0.0820742173334945,0.001450501631814332,0.006587694911156772,16546.0,0.49534630726459566,0.5046536927354044,"Fayette County, Alabama"
Alabama,Franklin County,11955.0,0.29929176678892117,0.06946376628304032,0.0017073479195649425,0.007524977867712151,31628.0,0.37798785885923863,0.6220121411407613,"Franklin County, Alabama"
