username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
R22MAGNA,,,397,97,12326,2015-12-17 19:34:54,2020-10-27 00:53:47,0,"When a man and his son receive $1.3 billion from a communist country, he talks like this. 

#election #China #Biden https://t.co/DXdO3j9yWV","[{'text': 'election', 'indices': [92, 101]}, {'text': 'China', 'indices': [102, 108]}, {'text': 'Biden', 'indices': [109, 115]}]"
stephen_scally,Retired Aerospace and Power Industry Engineer/Manager and former US Army Officer.  I want to share my life lessons so people can avoid common life mistakes.,,12,13,421,2020-03-07 18:15:55,2020-10-27 00:46:24,0,"China has not yet received the full return on their $1.5 Billion investment in Hunter #Biden.  If elected, Joe Biden will still be obligated to allow #China to take US jobs and steal US technology, further weakening the #USA.

#vote #BidenHarrisLandslide2020 #election #Trump https://t.co/gf8HzA0Bhx","[{'text': 'Biden', 'indices': [86, 92]}, {'text': 'China', 'indices': [150, 156]}, {'text': 'USA', 'indices': [220, 224]}, {'text': 'vote', 'indices': [227, 232]}, {'text': 'BidenHarrisLandslide2020', 'indices': [233, 258]}, {'text': 'election', 'indices': [259, 268]}, {'text': 'Trump', 'indices': [269, 275]}]"
UpshotSleuth,"We think in generalities; we live in details. Probe. Think. Weigh consequences. Honor God, love dogs and hit long off the tee. RT not endorsements just #FYI",Somewhere,3969,543,24136,2009-04-30 11:59:23,2020-10-27 00:39:36,0,"Just don’t see the stamina to hold Cabinet meetings, host foreign leaders or travel. Way too many lids called at height of campaign called voters Chumps. Who will pull the strings while #Biden rests. #Election https://t.co/BRkfjYbkaD","[{'text': 'Biden', 'indices': [186, 192]}, {'text': 'Election', 'indices': [200, 209]}]"
MarianneSauvage,Talent Manager (and personal opinions),Los Angeles,668,2947,63369,2009-04-17 23:12:57,2020-10-27 00:36:18,3,"@Porter_Anderson @Acosta @wolfblitzer @PressSec @kayleighmcenany @JoeBiden @KFILE ""#Acosta to #Blitzer on how #Kayleigh #McEnany 'is seeing some of her past comments come back to haunt her. In 2015, she praised then-#Biden as somebody who's likeable, who resonates with the middle class -- comments uncovered by our colleague, #Kaczynski'""
#ELECTION #USA #TRUMP https://t.co/BLubQTFHwD","[{'text': 'Acosta', 'indices': [99, 106]}, {'text': 'Blitzer', 'indices': [110, 118]}, {'text': 'Kayleigh', 'indices': [126, 135]}]"
LisaVanAllen3,46yrs  5 adult kids 3 are back in college 2 Nurse Practitioner 1 GEO Science. My youngest son passed @12 from Huntington's Chorea. Grandma of 6,"Buckeye Lake, Ohio",2357,1087,39621,2017-09-24 04:43:47,2020-10-27 00:30:16,3,"@Newsweek ""#Ohio Governor Mike #DeWine @GovMikeDeWine is the third governor reported to be the target of a kidnapping plot this year,joining #Michigan Governor Gretchen #Whitmer @GovWhitmer and #Virginia Governor Ralph #Northam @GovernorVA""#ELECTION #USA #GOP #MAGA #TERRORISM #TRUMP #BIDEN https://t.co/hQsIQRJ8hp","[{'text': 'Ohio', 'indices': [27, 32]}, {'text': 'DeWine', 'indices': [47, 54]}]"
noor_halabi,"Race, migration and social movements Lecturer @leedsUniMedia, vice-chair @MeCCSARace, PhD @AnnenbergPenn, MSc @LSEGovernment (She/her)","Leeds, England",1231,1549,11386,2013-03-08 23:01:56,2020-10-27 00:27:27,1,"""But his long experience cuts both ways. For many on the left, Biden’s conventional global outlook represents not so much a new dawn as a return to the #Washington establishment-led policies of the pre-#Trump era.""

#biden #election 

@noor_halabi @RUNSGA

https://t.co/wTxzqJSx4m",[]
realusavote,Real News to Vote By,United States,5,1,52,2020-07-22 05:21:00,2020-10-27 00:25:49,0,It is now too late to use the #USPS to get your #MailinBallot in time for the #election. You must now drop it off in person or use an official drop box. Have your vote count. #PostalService #PresidentialElection2020 #Trump #Biden,"[{'text': 'USPS', 'indices': [30, 35]}, {'text': 'MailinBallot', 'indices': [48, 61]}, {'text': 'election', 'indices': [78, 87]}, {'text': 'PostalService', 'indices': [175, 189]}, {'text': 'PresidentialElection2020', 'indices': [190, 215]}, {'text': 'Trump', 'indices': [216, 222]}, {'text': 'Biden', 'indices': [223, 229]}]"
KKublai5,"Non-serious account, purely for fun
Ardent Peter Schiff fan",,480,479,12163,2018-06-24 00:22:31,2020-10-27 00:24:27,0,"Democratic Nominees for packing the Supreme Court

John W.B Rich @richtechexec 
TeslaCharts @TESLAcharts 
Joe Exotic
Albert A. Gore @algore 
Michael G Tyson @MikeTyson 
Sir Chris Irons @QTRResearch 

#Barrett #AmyConeyBarrett 
#McConnell #Trump #Biden #Elections2020 #election","[{'text': 'Barrett', 'indices': [200, 208]}, {'text': 'AmyConeyBarrett', 'indices': [209, 225]}, {'text': 'McConnell', 'indices': [227, 237]}, {'text': 'Trump', 'indices': [238, 244]}, {'text': 'Biden', 'indices': [245, 251]}, {'text': 'Elections2020', 'indices': [252, 266]}, {'text': 'election', 'indices': [267, 276]}]"
phxazgrl,"Catholic, American, Mom of 4, ⛩️ Army Mom, Conservative, Pro 1st & 2ndA, Pro Israel",,1629,1487,62686,2012-04-12 16:36:52,2020-10-27 00:24:24,3,"Biden Does Not Have The Personality To Win An Election

https://t.co/Is05awjfvy

#Biden #Trump #election #Election2020 https://t.co/OqLkiGmzQO","[{'text': 'Biden', 'indices': [99, 105]}, {'text': 'Trump', 'indices': [106, 112]}, {'text': 'election', 'indices': [113, 122]}, {'text': 'Election2020', 'indices': [123, 136]}]"
dnaRtests,#writing #reading #KindleUnlimited #kindle #Kindnessmatters #author #poetry #memoir #childrensbooks #artist #mathematician #vegan, 🇺🇸,4615,4326,7627,2011-07-16 15:18:31,2020-10-27 00:03:12,3,"BUY THIS BOOK, IT IS AWESOME
👑🤴https://t.co/3kqOktYZEE
Hardcover 
$16.80 
#politics #trump #Newsnight #Republicans #election #usa #bjp #AmericanMurder #DonaldTrump #VoterSuppression #democrat #Democrats #LiberalismIsAMentalDisorder #NarendraModi #TrumpVirus #TrumpKnew #Biden","[{'text': 'politics', 'indices': [89, 98]}, {'text': 'trump', 'indices': [99, 105]}, {'text': 'Newsnight', 'indices': [106, 116]}, {'text': 'Republicans', 'indices': [117, 129]}, {'text': 'election', 'indices': [130, 139]}]"
sorabata,"Paisóloga, paisología. A DIOS LO QUE ES DE DIOS, Y AL VATICANO UNA PATADA EN EL MEDIO DEL CULO",,158,153,17084,2011-04-26 14:27:29,2020-10-27 00:02:12,3,"@Newsweek ""#Ohio Governor Mike #DeWine @GovMikeDeWine is the third governor reported to be the target of a kidnapping plot this year,joining #Michigan Governor Gretchen #Whitmer @GovWhitmer and #Virginia Governor Ralph #Northam @GovernorVA""#ELECTION #USA #GOP #MAGA #TERRORISM #TRUMP #BIDEN https://t.co/hQsIQRJ8hp","[{'text': 'Ohio', 'indices': [27, 32]}, {'text': 'DeWine', 'indices': [47, 54]}]"
upstractcom,The whole Internet on a single page,,1,1741,124111,2014-03-05 15:12:33,2020-10-27 00:01:01,0,"Biden #Biden Democratic #Democratic Iowa #Iowa Election #Election #Politics Biden, in Sign of Confidence, Will Visit Iowa in 2020 Election's Final Days NOW on https://t.co/ROVZr4x8ri","[{'text': 'Biden', 'indices': [6, 12]}, {'text': 'Democratic', 'indices': [24, 35]}, {'text': 'Iowa', 'indices': [41, 46]}, {'text': 'Election', 'indices': [56, 65]}, {'text': 'Politics', 'indices': [66, 75]}]"
RUCSRR,"The Center for Security, Race & Rights at #Rutgers Law School | RTs Not Endorsements | @rutgerslaw","Newark, NJ",4881,1986,7644,2017-12-20 21:38:50,2020-10-27 00:00:40,1,"""But his long experience cuts both ways. For many on the left, Biden’s conventional global outlook represents not so much a new dawn as a return to the #Washington establishment-led policies of the pre-#Trump era.""

#biden #election 

@noor_halabi @RUNSGA

https://t.co/wTxzqJSx4m","[{'text': 'Washington', 'indices': [152, 163]}, {'text': 'Trump', 'indices': [202, 208]}, {'text': 'biden', 'indices': [216, 222]}, {'text': 'election', 'indices': [223, 232]}]"
RuanoFaxas,#Comunicación #Communication #Lingüística #Linguistics #Filología #Philology  #Imagología #Imagology https://t.co/1jK69Ipkrb,United States of America,151,690,108008,2010-02-16 01:44:50,2020-10-26 23:54:26,3,"@Newsweek ""#Ohio Governor Mike #DeWine @GovMikeDeWine is the third governor reported to be the target of a kidnapping plot this year,joining #Michigan Governor Gretchen #Whitmer @GovWhitmer and #Virginia Governor Ralph #Northam @GovernorVA""#ELECTION #USA #GOP #MAGA #TERRORISM #TRUMP #BIDEN https://t.co/hQsIQRJ8hp","[{'text': 'Ohio', 'indices': [27, 32]}, {'text': 'DeWine', 'indices': [47, 54]}]"
RuanoFaxas,#Comunicación #Communication #Lingüística #Linguistics #Filología #Philology  #Imagología #Imagology https://t.co/1jK69Ipkrb,United States of America,151,690,108008,2010-02-16 01:44:50,2020-10-26 23:50:58,3,"@Newsweek ""#Ohio Governor Mike #DeWine @GovMikeDeWine is the third governor reported to be the target of a kidnapping plot this year,joining #Michigan Governor Gretchen #Whitmer @GovWhitmer and #Virginia Governor Ralph #Northam @GovernorVA""#ELECTION #USA #GOP #MAGA #TERRORISM #TRUMP #BIDEN https://t.co/hQsIQRJ8hp","[{'text': 'Ohio', 'indices': [11, 16]}, {'text': 'DeWine', 'indices': [31, 38]}, {'text': 'Michigan', 'indices': [141, 150]}, {'text': 'Whitmer', 'indices': [169, 177]}, {'text': 'Virginia', 'indices': [194, 203]}, {'text': 'Northam', 'indices': [219, 227]}, {'text': 'ELECTION', 'indices': [240, 249]}, {'text': 'USA', 'indices': [250, 254]}, {'text': 'GOP', 'indices': [255, 259]}, {'text': 'MAGA', 'indices': [260, 265]}, {'text': 'TERRORISM', 'indices': [266, 276]}, {'text': 'TRUMP', 'indices': [277, 283]}, {'text': 'BIDEN', 'indices': [284, 290]}]"
GlennEV25468627,,,20,0,263,2020-09-14 14:27:56,2020-10-26 23:50:55,25,“The divide in America is so great that neither #Trump nor #Biden can close it.”—- @minishmael #NOISundays #Election #BlackAgenda,"[{'text': 'Trump', 'indices': [66, 72]}, {'text': 'Biden', 'indices': [77, 83]}, {'text': 'NOISundays', 'indices': [113, 124]}, {'text': 'Election', 'indices': [125, 134]}]"
GlennEV25468627,,,20,0,263,2020-09-14 14:27:56,2020-10-26 23:50:08,24,“Both #Trump and #Biden are liars. One told 500 and the other told 499. Is that your definition of the lesser of two evils?”—- @minishmael #NOISundays #Election #Vote,"[{'text': 'Trump', 'indices': [24, 30]}, {'text': 'Biden', 'indices': [35, 41]}]"
CmdrKoenigMoon,"#Christian #Preacher #Anarchist  #Shaman #Hobo

Jesus: https://t.co/oIvQZwTz94
Podcasts: https://t.co/TNrVBM8Gn6, https://t.co/8zUvekNUvv
Words: https://t.co/MVZU8Qjguq, https://t.co/vQFSCkJdfr
Donate: https://t.co/PTjgnptfpQ","Seattle, Central District",456,1221,35743,2020-02-23 00:24:31,2020-10-26 23:50:08,2,"""There's been several kinds of shit dumped on us this year ...""

#Pandemic #Mask #SocialContract #Biden #Trump #Election #Collapse #TheReset #GovernorInslee #MayorDurkan #Covid19

Youtube: https://t.co/hLF8WZhiCv

MP3: https://t.co/sNfHKTf2kR

Sound Cloud: https://t.co/pruD1kFX6l https://t.co/rULZdv6uZS","[{'text': 'Pandemic', 'indices': [85, 94]}, {'text': 'Mask', 'indices': [95, 100]}, {'text': 'SocialContract', 'indices': [101, 116]}, {'text': 'Biden', 'indices': [117, 123]}, {'text': 'Trump', 'indices': [124, 130]}]"
